"filename", "language", "Dart", "Properties", "YAML", "Markdown", "Groovy", "XML", "ASCII Property list", "Kotlin", "JSON", "Swift", "C++", "comment", "blank", "total"
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 3, 12, 64
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 16, 1, 48
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/android/app/src/main/kotlin/com/example/anonymous_chat/MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 7
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/android/build.gradle", "Groovy", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/android/gradle.properties", "Properties", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/android/settings.gradle", "Groovy", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Flutter/AppFrameworkInfo.plist", "ASCII Property list", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist", "ASCII Property list", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist", "ASCII Property list", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 123
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 1, 38
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner/GoogleService-Info.plist", "ASCII Property list", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 34
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner/Info.plist", "ASCII Property list", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 46
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/interfaces/iAuth_service.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/interfaces/ifirestore_service.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/main.dart", "Dart", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20, 136
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/models/message.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 44
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/models/room.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 38
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/models/user.dart", "Dart", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/auth_provider.dart", "Dart", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 150
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/errors_provider.dart", "Dart", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 86
