"filename", "language", "Dart", "YAML", "Markdown", "comment", "blank", "total"
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/README.md", "Markdown", 0, 0, 2, 0, 2, 4
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/interfaces/iAuth_service.dart", "Dart", 11, 0, 0, 0, 7, 18
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/interfaces/iSearch_service.dart", "Dart", 5, 0, 0, 0, 3, 8
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/interfaces/ifirestore_service.dart", "Dart", 31, 0, 0, 1, 23, 55
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/main.dart", "Dart", 12, 0, 0, 0, 5, 17
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/models/message.dart", "Dart", 57, 0, 0, 1, 11, 69
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/models/room.dart", "Dart", 43, 0, 0, 13, 10, 66
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/models/tag.dart", "Dart", 53, 0, 0, 0, 12, 65
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/models/user.dart", "Dart", 72, 0, 0, 0, 13, 85
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/auth_provider.dart", "Dart", 136, 0, 0, 0, 37, 173
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/chat_provider.dart", "Dart", 126, 0, 0, 4, 31, 161
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/connectivity_provider.dart", "Dart", 4, 0, 0, 13, 3, 20
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/errors_provider.dart", "Dart", 121, 0, 0, 0, 18, 139
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/loading_provider.dart", "Dart", 8, 0, 0, 0, 4, 12
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/name_generator.dart", "Dart", 161, 0, 0, 0, 19, 180
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/suggestions_provider.dart", "Dart", 45, 0, 0, 0, 10, 55
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/tag_searching_provider.dart", "Dart", 153, 0, 0, 17, 33, 203
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/tags_provider.dart", "Dart", 37, 0, 0, 0, 9, 46
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/providers/user_rooms_provider.dart", "Dart", 86, 0, 0, 2, 26, 114
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/services.dart/algolia.dart", "Dart", 28, 0, 0, 0, 9, 37
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/services.dart/authentication.dart", "Dart", 37, 0, 0, 0, 11, 48
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/services.dart/firestore.dart", "Dart", 224, 0, 0, 4, 35, 263
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/services.dart/local_storage.dart", "Dart", 29, 0, 0, 0, 11, 40
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/app_navigator.dart", "Dart", 34, 0, 0, 0, 5, 39
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/extrentions.dart", "Dart", 39, 0, 0, 0, 3, 42
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/utilities/theme_widget.dart", "Dart", 170, 0, 0, 1, 22, 193
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/chats_screen.dart", "Dart", 141, 0, 0, 0, 8, 149
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/home_screen.dart", "Dart", 50, 0, 0, 0, 5, 55
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/login.dart", "Dart", 138, 0, 0, 0, 4, 142
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/name_generator_screen.dart", "Dart", 104, 0, 0, 0, 6, 110
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/room_screen.dart", "Dart", 170, 0, 0, 0, 11, 181
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/settings_screen.dart", "Dart", 168, 0, 0, 0, 5, 173
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/splash_screen.dart", "Dart", 106, 0, 0, 0, 13, 119
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/views/tags_screen.dart", "Dart", 435, 0, 0, 0, 17, 452
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/animated_widgets.dart", "Dart", 233, 0, 0, 1, 36, 270
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/chat_bubble.dart", "Dart", 101, 0, 0, 13, 5, 119
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/chat_header.dart", "Dart", 120, 0, 0, 0, 8, 128
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/chat_message_field.dart", "Dart", 103, 0, 0, 13, 10, 126
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/cta_button.dart", "Dart", 39, 0, 0, 0, 5, 44
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_expansion_tile.dart", "Dart", 186, 0, 0, 87, 33, 306
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_route.dart", "Dart", 17, 0, 0, 13, 5, 35
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_tab_bar.dart", "Dart", 121, 0, 0, 2, 15, 138
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/custom_text_field.dart", "Dart", 78, 0, 0, 0, 13, 91
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/error_notification.dart", "Dart", 74, 0, 0, 0, 4, 78
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/widgets/keyboard_hider.dart", "Dart", 17, 0, 0, 1, 4, 22
