"filename", "language", "YAML", "Dart", "JSON", "Markdown", "comment", "blank", "total"
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/README.md", "Markdown", 0, 0, 0, 17, 0, 5, 22
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/analysis_option.yaml", "YAML", 1, 0, 0, 0, 0, 1, 2
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/assets/data.json", "JSON", 0, 0, 1232, 0, 0, 0, 1232
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/database_entities/message_entity.dart", "Dart", 0, 136, 0, 0, 15, 19, 170
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/database_entities/room_entity.dart", "Dart", 0, 43, 0, 0, 1, 11, 55
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/interfaces/auth_interface.dart", "Dart", 0, 15, 0, 0, 14, 9, 38
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/interfaces/chat_persistance_interface.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/interfaces/database_interface.dart", "Dart", 0, 61, 0, 0, 1, 30, 92
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/interfaces/local_storage_interface.dart", "Dart", 0, 10, 0, 0, 13, 5, 28
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/interfaces/search_service_interface.dart", "Dart", 0, 7, 0, 0, 0, 4, 11
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/main.dart", "Dart", 0, 12, 0, 0, 0, 4, 16
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/mappers/chat_room_mapper.dart", "Dart", 0, 156, 0, 0, 15, 31, 202
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/mappers/contact_mapper.dart", "Dart", 0, 51, 0, 0, 13, 8, 72
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/mappers/message_mapper.dart", "Dart", 0, 78, 0, 0, 13, 12, 103
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/models/activity_status.dart", "Dart", 0, 47, 0, 0, 17, 13, 77
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/models/chat_room.dart", "Dart", 0, 33, 0, 0, 0, 8, 41
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/models/contact.dart", "Dart", 0, 20, 0, 0, 13, 5, 38
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/models/local_user.dart", "Dart", 0, 62, 0, 0, 0, 13, 75
"/Users/hadihammoud/development/flutter projects/Chat App/anonymous_chat/lib/models/message.dart", "Dart", 0, 65, 0, 0, 2, 10, 77
